number;type;tree;bush;diameter;height;description;action
4342;Сосна;1;;34;;с развилкой;Вырубить
4343;Липа;1;;63;;;Сохранить
4347;Липа;1;;54;;ствол наклонен, сухобочина;Вырубить
4348;Клен остролистный;1;;65;;;Вырубить
4349;Клен остролистный;1;;17;;сухобочина;Вырубить
4350;Липа;1;;43;;;Вырубить
4351;Клен остролистный;1;;54;;;Вырубить
4354;Береза;1;;27;;;Вырубить
4355;Липа;1;;46;;ствол наклонен;Вырубить
4356;Клен остролистный;1;;51;;ствол наклонен;Вырубить
4357;Липа;1;;56;;;Вырубить
4358;Липа;1;;61;;;Вырубить
4359;Рябина;1;;18;;ствол наклонен;Сохранить
4360;Липа;1;;21;;;Вырубить
4361;Липа;1;;24;;спилы;Вырубить
4362;Сосна;1;;27;;;Вырубить
4363;Липа;1;;54;;;Вырубить
4364;Сосна;1;;59;;;Вырубить
4365;Липа;1;;62;;ствол накл., сух.вет., сухобоч., ств.гниль;Вырубить
4367;Сосна;1;;51;;;Вырубить
4369;Сосна;1;;26;;ствол наклонен;Вырубить
4370;Липа;1;;48,48;;2 ствола, сухобочина;Вырубить
4371;Береза;1;;34,33,34;;3 ствола;Вырубить
4372;Ель;1;;59;;;Вырубить
4373;Сосна;1;;56;;;Вырубить
4374;Липа;1;;52;;;Вырубить
4375;Липа;1;;58;;;Вырубить
4376;Липа;1;;56;;;Вырубить
4377;Береза;1;;48;;;Вырубить
4378;Липа;1;;44;;;Вырубить
4379;Береза;1;;40;;;Вырубить
4381;Липа;1;;18;;;Сохранить
4382;Ель;1;;8;;;Вырубить
4383;Береза;1;;46;;;Вырубить
4384;Береза;1;;8;;;Сохранить
4404;Сосна;;1;;;;Сохранить
4405;Сосна;;1;;;;Сохранить
4406;Сосна;;1;;;;Сохранить
4408;Сосна;1;;74;;;Сохранить
4409;Сосна;;36;;;;Сохранить
4412;Липа;1;;6;;;Сохранить
4413;Липа;1;;6;;;Сохранить
4416;Береза;1;;28;;;Сохранить
4417;Береза;1;;8;;;Сохранить
4418;Рябина;1;;6;;;Сохранить
4419;Рябина;1;;6;;;Вырубить
4422;Липа;1;;18;;сухостой;Сохранить
4425;Ель;1;;48;;;Сохранить
4426;Липа;1;;54;;ствол наклонен, сухие ветви;Сохранить
4427;Липа;1;;42,46;;2 ствола, ствол наклонен;Вырубить
4514;Липа;1;;20,20,24;;трехствол.;Сохранить
4574;Ель;1;;49;;;Сохранить
4575;Липа;2;;10;;1 искривл.;Сохранить
4576;Сосна;1;;;;;Сохранить
4580;лещина куст;;1;;;сух.ветви;Сохранить
4581;Ель;1;;30;;;Сохранить
4582;Сосна;1;;58;;;Сохранить
4582;лещина куст;;1;;;;Сохранить
4583;Ольха;1;;8;;;Сохранить
4593;Черемуха;1;;16;;;Сохранить
4594;Липа;1;;36;;;Сохранить
